FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NYDFS Requirement Title,Target ID #,NYDFS Requirement Description,Notes
164.308(a)(2),Assigned Security Responsibility,Description Identify security official responsible for P&P Regulation Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.,medium,functional,"HIPAA 164.308(a)(2) requires Description Identify security official responsible for P&P Regulation Identify the security official who is responsible for the development and implementation of the policies an.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy. Divergence: HIPAA emphasizes identify, official, responsible; NYDFS emphasizes 500, basis, data."
164.308(a)(3)(i),Workforce Security,"Description Implement P&P to ensure appropriate PHI access Regulation Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a))(4) of this section from obtaining access to electronic protected health information.",medium,functional,"HIPAA 164.308(a)(3)(i) requires Description Implement P&P to ensure appropriate PHI access Regulation Implement policies and procedures to ensure that all members of its workforce have appropriate access to el.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes workforce, appropriate, electronic; NYDFS emphasizes authorized, training, users."
164.308(a)(3)(ii)(A),Authorization and/or Supervision,Description Authorization/supervision for PHI access Regulation Implement procedures for authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,medium,functional,"HIPAA 164.308(a)(3)(ii)(A) requires Description Authorization/supervision for PHI access Regulation Implement procedures for authorization and/or supervision of workforce members who work with electronic protected.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes authorization, supervision, accessed; NYDFS emphasizes authorized, training, users."
164.308(a)(3)(ii)(B),Workforce Clearance Procedure,Description Procedures to ensure appropriate PHI access Regulation Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,medium,functional,"HIPAA 164.308(a)(3)(ii)(B) requires Description Procedures to ensure appropriate PHI access Regulation Implement procedures to determine that the access of a workforce member to electronic protected health informa.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes appropriate, workforce, administrative; NYDFS emphasizes authorized, training, users."
164.308(a)(3)(ii)(C),Termination Procedures,Description Procedures to terminate PHI access Regulation Implement procedures for termination access to electronic protected health information when the employment of a workforce member ends or as required by determination made as specified in paragraph (a)(3)(ii)(B) of this section.,medium,functional,"HIPAA 164.308(a)(3)(ii)(C) requires Description Procedures to terminate PHI access Regulation Implement procedures for termination access to electronic protected health information when the employment of a workfor.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes termination, administrative, description; NYDFS emphasizes authorized, training, users."
164.308(a)(4)(i),Information Access Management,Description P&P to authorize access to PHI Regulation Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,medium,functional,"HIPAA 164.308(a)(4)(i) requires Description P&P to authorize access to PHI Regulation Implement policies and procedures for authorizing access to electronic protected health information that are consistent wit.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control; data protection. Divergence: HIPAA emphasizes administrative, applicable, authorize; NYDFS emphasizes privileges, 500, assessment."
164.308(a)(4)(ii)(A),Isolation Health Clearinghouse Functions,"Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",medium,functional,"HIPAA 164.308(a)(4)(ii)(A) requires Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and pr.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes clearinghouse, larger, organization; NYDFS emphasizes authorized, training, users."
164.308(a)(4)(ii)(B),Access Authorization,"Description P&P to authorize access to PHI Regulation Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process or other mechanism.",medium,functional,"HIPAA 164.308(a)(4)(ii)(B) requires Description P&P to authorize access to PHI Regulation Implement policies and procedures for granting access to electronic protected health information, for example, through acce.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control; data protection. Divergence: HIPAA emphasizes administrative, authorization, authorize; NYDFS emphasizes privileges, 500, assessment."
164.308(a)(4)(ii)(C),Access Establishment and Modification,"Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process.",medium,functional,"HIPAA 164.308(a)(4)(ii)(C) requires Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control; audit and monitoring; data protection. Divergence: HIPAA emphasizes policies, administrative, authorization; NYDFS emphasizes privileges, 500, assessment."
164.308(a)(5)(i),Security Awareness Training,Description Training program for workers and managers Regulation Implement a security awareness and training program for all members of its workforce (including management).,medium,functional,"HIPAA 164.308(a)(5)(i) requires Description Training program for workers and managers Regulation Implement a security awareness and training program for all members of its workforce (including management).. NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: governance and policy. Divergence: HIPAA emphasizes administrative, description, including; NYDFS emphasizes authorized, users, 500."
164.308(a)(5)(ii)(A),Security Reminders,Description Distribute periodic security updates Regulation Periodic security updates.,medium,functional,HIPAA 164.308(a)(5)(ii)(A) requires Description Distribute periodic security updates Regulation Periodic security updates.. NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address security and privacy governance. There is minimal meaningful overlap.,not_related,1,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...","No substantive thematic overlap detected. Focal terms: updates, administrative, description. Target terms: assessment, risk, 500."
164.308(a)(5)(ii)(B),Protection from Malicious Software,"Description Procedures to guard against malicious software Regulation Procedures for guarding against, detecting, and reporting malicious software.",medium,functional,"HIPAA 164.308(a)(5)(ii)(B) requires Description Procedures to guard against malicious software Regulation Procedures for guarding against, detecting, and reporting malicious software.. NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes malicious, software, against; NYDFS emphasizes 500, basis, data."
164.308(a)(5)(ii)(C),Log-in Monitoring,Description Procedures and monitoring of log-in attempts Regulation Procedures for monitoring log-in attempts and reporting discrepancies.,medium,functional,"HIPAA 164.308(a)(5)(ii)(C) requires Description Procedures and monitoring of log-in attempts Regulation Procedures for monitoring log-in attempts and reporting discrepancies.. NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: governance and policy; audit and monitoring. Divergence: HIPAA emphasizes log-in, attempts, administrative; NYDFS emphasizes authorized, training, users."
164.308(a)(5)(ii)(D),Password Management,"Description Procedures for password management Regulation Procedures for creating, changing, and safeguarding passwords.",medium,functional,"HIPAA 164.308(a)(5)(ii)(D) requires Description Procedures for password management Regulation Procedures for creating, changing, and safeguarding passwords.. NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy. Divergence: HIPAA emphasizes management, password, administrative; NYDFS emphasizes 500, basis, data."
164.308(a)(6)(i),Security Incident Procedures,Description P&P to manage security incidents Regulation Implement policies and procedures to address security incidents.,medium,functional,"HIPAA 164.308(a)(6)(i) requires Description P&P to manage security incidents Regulation Implement policies and procedures to address security incidents.. NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: incident response. Divergence: HIPAA emphasizes incidents, procedures, address; NYDFS emphasizes plan, response, 500."
164.308(a)(6)(ii),Response and Reporting,"Description Mitigate and document security incidents Regulation Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes.",medium,functional,"HIPAA 164.308(a)(6)(ii) requires Description Mitigate and document security incidents Regulation Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effec.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: incident response. Divergence: HIPAA emphasizes incidents, document, known; NYDFS emphasizes incident, plan, 500."
164.308(a)(7)(i),Contingency Plan,"Description Emergency response P&P Regulation Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",medium,functional,"HIPAA 164.308(a)(7)(i) requires Description Emergency response P&P Regulation Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire,.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: incident response; data protection. Divergence: HIPAA emphasizes emergency, administrative, contain; NYDFS emphasizes incident, 500, affecting."
164.308(a)(7)(ii)(A),Data Backup Plan,Description Data backup planning & procedures Regulation Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.,medium,functional,"HIPAA 164.308(a)(7)(ii)(A) requires Description Data backup planning & procedures Regulation Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health inform.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes backup, administrative, copies; NYDFS emphasizes 500, basis, disposal."
