controlId,title,family,description,subFamily,objectives,enhancements
AC-2(12),ACCOUNT MONITORING / ATYPICAL USAGE,AC - ACCESS CONTROL,"The organization: a. Monitors information system accounts for atypical use; and b. Reports atypical usage of information system accounts to defined personnel or roles (defined in the applicable security plan), and if necessary, incident response team.",AC-2,,"GUIDANCE Atypical usage includes, for example, accessing information systems at certain times of the day and from locations that are not consistent with the normal usage patterns of individuals working in organizations."
AC-3,ACCESS ENFORCEMENT,AC - ACCESS CONTROL,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies. The organization controls access to PII through access enforcement mechanisms,AC-3,"AC-3-1: 1. If encryption is used as an access control mechanism, it must meet the approved (FIPS 140-2 compliant and a NIST validated module) compliant encryption standards (see SC 13). | AC-3-2: 2. Configure operating system controls to disable public ""read"" and ""write"" access to all system-related files, objects, and directories that contain sensitive information. | AC-3-3: 3. Data stored in the information system must be protected with system access controls and must be encrypted when residing in non-secure areas. | AC-3-4: 4. When contracting with external service providers, personally identifiable information (PII), as well as software and services that receive, process, store, or transmit PII must be isolated within the service provider environment to the maximum extent possible so that other service provider customers sharing physical or virtual space cannot gain access to such data or applications.","GUIDANCE Access control policies (e.g., identity-based policies, role-based policies, attribute-based policies) and access enforcement mechanisms (e.g., access control lists, access control matrices, and cryptography) control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (e.g., devices, files, records, domains) in information systems. In addition to enforcing authorized access at the information system level and recognizing that information systems can host many applications and services in support of organizational missions and business operations, access enforcement mechanisms can also be employed at the application and service level to provide increased information security. For minimum authentication requirements, refer to Electronic Authentication Guidelines for ACA Administering Entity Systems, which can be found at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates Well-designed, automated access controls (e.g., mandatory access control [MAC], discretionary access control [DAC], role-based access control [RBAC], or attribute-based access control [ABAC]) limit user access to information per defined access policies, which helps ensure the security and confidentiality of sensitive information, such as PII, contained in the system. For example, the organization implements role-based access controls and configure access controls to ensure that each user can access only those pieces of information necessary for the user’s role or only permits users to access PII through an application that restricts their access to the PII the users require, rather than allowing users direct access to a database or files containing PII. FIPS 140-2 validation certificate numbers are listed at: http://csrc.nist.gov/groups/STM/cmvp/documents/140-1/140val-all.htm"
AC-3(9),ACCESS ENFORCEMENT | CONTROLLED RELEASE,AC - ACCESS CONTROL,"The information system does not release information outside of the established system boundary unless: a. The receiving external organization (i.e., department, agency, or commercial entity not managed by the organization) provides information security and privacy safeguards commensurate with those implemented by the organization; b. Organization defined information security and privacy safeguards consistent with 45 CFR §155.260 Paragraph (b) (2) are used to validate the appropriateness of the information designated for release; and c. Controls UL-1 and UL-2 are used to validate the appropriateness of the information designated for release.",AC-3,"AC-3(9)-1: 1. PII may only be released when authorized, there is a need to know, and adequate assurances of protection have been provided. | AC-3(9)-2: 2. Applicable policy establishing organizational policies and procedures regarding access to PII.","GUIDANCE Information systems can only protect organizational information within the confines of established system boundaries. Additional security safeguards may be needed to ensure that such information is adequately protected once it is passed beyond the established information system boundaries. Examples of information leaving the system boundary include transmitting information to an external information system or printing the information on one of its printers. In cases where the information system is unable to make a determination of the adequacy of the protections provided by entities outside its boundary, as a mitigating control, organizations determine procedurally whether the external information systems are providing adequate security. Organizations can determine the adequacy of the security provided by external information systems by various means, including, for example, conducting inspections or periodic testing, establishing agreements between the organization and its counterpart organizations, or some other process. The means used by external entities to protect the information received need not be the same as those used by the organization; however, the means employed should be sufficient to provide consistent adjudication of the security policy to protect the information. This control enhancement requires information systems to employ technical or procedural means to validate the information prior to releasing it to external systems. For example, if the information system passes information to another system controlled by another organization, technical means are employed to validate that the security attributes associated with the exported information are appropriate for the receiving system. Alternatively, if the information system passes information to a printer in an organization-controlled space, procedural means can be employed to ensure that only appropriately authorized individuals gain access to the printer. This control enhancement is most applicable when there is some policy mandate (e.g., law, Executive Order, directive, or regulation) that establishes policy regarding access to the information, and that policy applies beyond the realm of a particular information system or organization. PII released outside a system boundary may be at increased risk for unauthorized access and use (i.e., a breach). Such a release could include a formal process or an informal activity, like a spreadsheet receiving data extracted from an information system."
AC-4,INFORMATION FLOW ENFORCEMENT,AC - ACCESS CONTROL,The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with applicable policy.,AC-4,"AC-4-1: The organization CIO, CISO, and SOP have the authority to order the immediate termination and/or suspension of any interconnection that, in the judgment of the organization officer and the organization Security Operations, presents an unacceptable level of risk to the organization enterprise and/or mission.","GUIDANCE Information flow control regulates where information can travel within an information system and between information systems (as opposed to who can access the information) and without explicit regard to subsequent accesses to that information. Flow control restrictions include, for example, keeping export-controlled information from being transmitted in the clear to the Internet, blocking outside traffic that claims to be from within the organization, restricting web requests to the Internet that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between information systems representing different security domains with different security policies introduces risk that such transfers violate one or more domain security policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between interconnected systems. Organizations consider mandating specific architectural solutions when required to enforce specific security policies. Enforcement includes, for example, (1) prohibiting information transfers between interconnected systems (i.e., allowing access only); (2) employing hardware mechanisms to enforce one-way information flows; and (3) implementing trustworthy mechanisms to reassign security attributes and security labels. Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations (e.g., networks, individuals, and devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices (e.g., gateways, routers, guards, encrypted tunnels, firewalls) that employ rule sets or establish configuration settings that restrict information system services, provide a packet-filtering capability based on header information, or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics). Organizations also consider the trustworthiness of filtering/inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. The information flow enforcement controls provide a technical means of implementing disclosure requirements by minimizing information shared between networks, devices, and individuals within information systems and between interconnected systems. This control can also limit information transfers between organizations based on data structures and content."
AC-4(21),PHYSICAL/LOGICAL SEPARATION OF INFORMATION FLOWS,AC - ACCESS CONTROL,The information system separates information flows logically or physically using organization-defined mechanisms and/or techniques to accomplish logical or physical separation of information flows.,AC-4,"AC-4(21)-1: The CMS and/or the organization CIO, CISO, and SOP have the authority to order the immediate termination and/or suspension of any interconnection that, in the judgment of the CMS and/or the organization officer and CMS and/or the organization Security Operations, presents an unacceptable level of risk to the CMS and the organization enterprise and/or mission.","GUIDANCE Enforcing the separation of information flows by type can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths perhaps not otherwise achievable. Types of separable information include, for example, inbound and outbound communications traffic, service requests and responses, and information of differing security categories."
AC-5,SEPARATION OF DUTIES,AC - ACCESS CONTROL,"The organization: a. Separates duties of individuals as necessary (defined in the applicable security plan), to prevent malevolent activity; b. Documents separation of duties; and c. Defines information system access authorizations to support separation of duties. d. Enforces role-based access control policies over all subjects and objects where the policy specifies that: 1. The policy is uniformly enforced across all subjects and objects within the boundary of the IS; and 2. A subject that has been granted access to information is constrained from doing any of the following: (i) Passing the information to unauthorized subjects or objects; (ii) Granting its privileges to other subjects; (iii) Changing one or more security attributes on subjects, objects, the information system, or information system components; (iv) Choosing the security attribute and attribute values to be associated with newly created or modified objects.",AC-5,"AC-5-1: 1. Audit functions must not be performed by security personnel responsible for administering access control. | AC-5-2: 2. Maintain a limited group of administrators with access based upon the users' roles and responsibilities. | AC-5-3: 3. The critical mission functions and information system support functions are divided among separate individuals. | AC-5-4: 4. The information system testing functions (i.e., user acceptance, quality assurance, information security) and production functions must be divided among separate individuals. | AC-5-5: 5. An independent entity, not the Business Owner, System Developer(s)/Maintainer(s), or System Administrator(s) responsible for the information system, conducts information security testing of the information system. | AC-5-6: 6. Assign user accounts and authenticators in accordance with role-based access control policies. | AC-5-7: 7. Configure the system to request user ID and authenticator prior to system access | AC-5-8: 8. Configure databases containing federal information in accordance with the organizational security administration guide to provide role-based access controls, enforcing assigned privileges and permissions at the file, table, row, column, or cell level, as appropriate.","GUIDANCE Separation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes, for example, (1) dividing mission functions and information system support functions among different individuals and/or roles; (2) conducting information system support functions with different individuals (e.g., system management, programming, configuration management, quality assurance and testing, and network security); and (3) ensuring security personnel administering access control functions do not also administer audit functions. Separation of duties aligns privileges with appropriate roles. Duties are split between roles to reduce the risk of malevolent or inappropriate behaviors based on access. Implementing this control helps reduce the risk of inappropriate access to sensitive information (e.g., separating employees that perform security investigations from mission and business functions). Separation of duties is implemented by designating a set of administrators with the authority to establish user permissions to PII information, while restricting those administrators from having access to the PII. The principle of separation of duties is significant for developers as well as for operational system administrators. The organization designs separation of duties into the system to ensure that checks and balances limit the power of any given end user to control the entire process. Roles and responsibilities should be divided to ensure that a single end user cannot subvert a critical process. This practice divides the tasks related to maintaining system security among different personnel to prevent the potential that any single individual could compromise PII."
AC-6,LEAST PRIVILEGE,AC - ACCESS CONTROL,"The organization employs the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned tasks in accordance with the organization’s missions and business functions. This control supports and aligns with the provisions of the ACA and the requirements of 45 CFR §155.260, Privacy and security of personally identifiable information.",AC-6,"AC-6-1: 1. Disable all file system access not explicitly required for system, application, and administrator functionality. | AC-6-2: 2. Contractors must be provided with minimal system and physical access and must agree to and support the organizational security requirements. The contractor selection process must assess the contractor's ability to adhere to and support the organization’s security policy. | AC-6-3: 3. Restrict the use of database management utilities to only authorized database administrators. Prevent users from accessing database data files at the logical data view, field, or field-value level. Implement table-level access control. | AC-6-4: 4. Ensure that only authorized users are permitted to access those files, directories, drives, workstations, servers, network shares, ports, protocols, and services that are expressly required for the performance of job duties. | AC-6-5: 5. Disable all system and removable media boot access unless it is explicitly authorized by the CIO for compelling operational needs. If system and removable media boot access is authorized, boot access is password protected.","GUIDANCE Organizations employ least privilege for specific duties and information systems. The principle of least privilege is also applied to information system processes, ensuring that the processes operate at privilege levels no higher than necessary to accomplish required organizational missions/business functions. Organizations consider the creation of additional processes, roles, and information system accounts as necessary, to achieve least privilege. Organizations also apply least privilege to the development, implementation, and operation of organizational information systems. The organization only allows access to PII when an individual has a need-to-know in performance of their job duties. The organization ensures that users who must access records containing PII only have access to the minimum amount of PII, along with only those privileges (e.g., read, write, and execute) necessary to perform their assigned tasks. The organization enforces the most restrictive set of rights/privileges or access needed by users (or processes acting on behalf of users) for the performance of specified tasks—increasing the level of restriction as PII confidentiality impact level rises."
AC-6(1),AUTHORIZE ACCESS TO SECURITY FUNCTIONS,AC - ACCESS CONTROL,"At a minimum, the organization explicitly authorizes access to the following list of security functions (deployed in hardware, software, and firmware) and security-relevant information: a. Setting/modifying audit logs and auditing behavior; b. Setting/modifying boundary protection system rules; c. Configuring/modifying access authorizations (i.e., permissions, privileges); d. Setting/modifying authentication parameters; and e. Setting/modifying system configurations and parameters.",AC-6,"AC-6(1)-1: The System Owner explicitly authorizes access to organization-defined list of security functions (deployed in hardware, software, and firmware) and security-relevant information for authorized personnel, including, for example, security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users.","GUIDANCE Security functions include, for example, establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters. Security-relevant information includes, for example, filtering rules for routers/firewalls, cryptographic key management information, configuration parameters for security services, and access control lists. Explicitly authorized personnel include, for example, security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users. Limiting access to security functions to authorized personnel reduces the number of users able to perform certain security functions, such as configuring access permissions, setting audit logs, and performing system management functions. Examples of authorized personnel include security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users. These types of security functions can provide a level of access to PII, and capabilities to manipulate it, in ways that other users’ roles typically could not. The organization identifies the security-relevant functions that require authorized access for all information systems that contain moderate or high PII confidentiality impact-level information."
AC-6(2),NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,AC - ACCESS CONTROL,"At a minimum, the organization requires that users of information system accounts, or roles, with access to the following list of security functions or security-relevant information, use non-privileged accounts, or roles, when accessing other system functions, and if feasible, audit any use of privileged accounts, or roles, for such functions: a. Setting/modifying audit logs and auditing behavior; b. Setting/modifying boundary protection system rules; c. Configuring/modifying access authorizations (i.e., permissions, privileges); d. Setting/modifying authentication parameters; and e. Setting/modifying system configurations and parameters.",AC-6,"AC-6(2)-1: The organization requires that users of information system accounts, or roles, with access to all security functions, use non-privileged accounts, or roles, when accessing other system functions, and if feasible, audit any use of privileged accounts, or roles, for such functions.","GUIDANCE This control enhancement limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies such as role-based access control and where a change of role provides the same degree of assurance in the change of access authorizations for both the user and all processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account. Examples of service provider security functions include, but are not limited to, establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, and other privileged functions. This control requires system users with elevated privileges to use their non-privileged accounts when performing non-security functions. Requiring system users to use their non-privileged accounts when working with PII for purposes other than security functions limits inadvertent access to or disclosure of PII and protects the integrity of PII. Any access involving PII that is non-administrative in nature should require the user to use their non-privileged accounts to perform that function."
AC-6(5),PRIVILEGED ACCOUNTS,AC - ACCESS CONTROL,The organization restricts privileged accounts on the information system to defined personnel or roles (defined in the applicable security plan).,AC-6,,"GUIDANCE Privileged accounts, including super user accounts, are typically described as system administrator for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from having access to privileged information/functions. Organizations may differentiate in the application of this control enhancement between allowed privileges for local accounts and for domain accounts, provided organizations retain the ability to control information system configurations for key security parameters and as otherwise necessary to sufficiently mitigate risk. This control limits who is authorized to administrative accounts, such as those who can perform security functions, which include configuring access permissions, setting audit logs, and performing system management functions. These types of system and network management personnel typically have a level of access that is capable of circumventing other access controls. Limiting access to these accounts further protects sensitive information by limiting the number of individuals that have the “keys to the kingdom” on a network or system."
AC-6(9),AUDITING USE OF PRIVILEGED FUNCTIONS,AC - ACCESS CONTROL,The information system audits the execution of privileged functions.,AC-6,,"GUIDANCE Misuse of privileged functions, either intentionally or unintentionally by authorized users, or by unauthorized external entities that have compromised information system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Auditing the use of privileged functions is one way to detect such misuse, and in doing so, help mitigate the risk from insider threats and the advanced persistent threat (APT). Privileged functions have elevated permissions to access, and grant access, to sensitive information. Accountability requires the ability to detect, trace, and audit a privileged function whenever it is executed."
AC-6(10),PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS,AC - ACCESS CONTROL,"The information system prevents non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.",AC-6,,"GUIDANCE Privileged functions include, for example, establishing information system accounts, performing system integrity checks, or administering cryptographic key management activities. Non-privileged users are individuals who do not possess appropriate authorizations. Circumventing intrusion detection and prevention mechanisms or malicious code protection mechanisms are examples of privileged functions that require protection from non-privileged users. Non-privileged users may not have the same level of trust as privileged users. Privileged functions have access beyond that of the typical user, and as such may have greater ability to access sensitive information. Individual accountability requires the ability to trace (audit) the actions of the user who initiated them."
AC-7,UNSUCCESSFUL LOGON ATTEMPTS,AC - ACCESS CONTROL,The information system: a. Enforces the limit of consecutive invalid login attempts by a user specified in the Implementation Standard during the period specified in the Implementation Standard; and b. Automatically disables or locks the account/node until released by an administrator or after the period specified in the Implementation Standard when the maximum number of unsuccessful attempts is exceeded.,AC-7,AC-7-1: 1. Configure the information system to lock out the user account automatically after three (3) invalid login attempts through either a local or network connection during a fifteen (15)-minute period. Require the lockout to persist for a minimum of thirty (30) minutes; and | AC-7-2: 2. Automatically locks the account/node for thirty (30) minutes until released by an administrator or delays next logon prompt. The control applies whether the login occurs via a local or network connection.,"GUIDANCE This control applies whether the logon occurs via a local or network connection. Due to the potential for denial of service, automatic lockouts initiated by information systems are usually temporary and automatically released after a predetermined time established by organizations. If a delay algorithm is selected, organizations may choose to employ different algorithms for different information system components based on the capabilities of those components. Responses to unsuccessful logon attempts may be implemented at the operating system and application levels."
AC-8,SYSTEM USE NOTIFICATION,AC - ACCESS CONTROL,"The information system: a. Displays an approved system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. The approved banner states: Warning! This system contains U.S Government information. By using this information system, you are consenting to system monitoring for law enforcement and other purposes. Unauthorized or improper use of, or access to, this computer system may subject you to state and federal criminal prosecution and penalties as well as civil penalties. At any time, the government may intercept, search, and seize any communication or data transiting or stored on this information system. b. Retains the notification message or banner on the screen until users take explicit actions to log on to or further access the information system; and c. For publicly accessible systems: 1. Displays system use information when appropriate, before granting further access; 2. Displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and 3. Includes a description of the authorized uses of the system.",AC-8,"AC-8-1: 1. The System Owner determines elements of the environment that require the System Use Notification control. | AC-8-2: 2. The System Owner determines how System Use Notification will be verified and provides appropriate periodicity of the check. | AC-8-3: 3. In a cloud environment, if not performed as part of a Configuration Baseline check, the organization has a documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider.","GUIDANCE The warning banner language has very important legal implications for the organization and its information system resources. Should content need to be added to this banner, submit the modified warning banner language to the organization CIO for review and approval prior to implementation. If an information system has character limitations related to the warning banner display, the organization CIO can provide an abbreviated warning banner version. If this banner is inconsistent with any directives, policies, regulations, or standards, notify the organization CIO immediately. All information system computers and network devices under the organization’s control prominently display the notice and consent banner immediately upon users’ authentication to the system, including but not limited to, websites, web pages where substantial personal information from the public is collected, Secure File Transfer Protocol (SFTP), Secure Shell (SSH), or other services accessed. System use notifications can be implemented using messages or warning banners displayed before individuals log in to information systems. System use notifications are used only for access via logon interfaces with human users and are not required when such human interfaces do not exist. System use notification (e.g., logon banner) does not satisfy the requirement for Privacy Act Statements or Privacy Act system of records notice, when applicable; see TR-1 and TR-2. System use notifications are the primary, interactive vehicle for notifying system users of the organization’s monitoring practices before accessing a system and reminding users that unauthorized use is both prohibited and subject to criminal and civil penalties. The system use notification requires explicit action from the system user to acknowledge the notice before they can enter the system. Notices on system use are principally intended to convey information regarding consent to monitor (and other security-relevant information). These notices may also be, in some instances, an appropriate means to remind system users that the system being accessed contains sensitive PII and requires due care (e.g., a logon banner on an employee management system). Note that System Use Notification does not satisfy the requirement for privacy notice."
