controlId,title,family,description,subFamily,parameters,objectives,enhancements
CM-4,CM-04 - Impact Analyses,Configuration Management,"Analyze changes to the system to determine potential security and privacy impacts prior to change implementation. Guidance Organizational personnel with security or privacy responsibilities conduct impact analyses. Individuals conducting impact analyses possess the necessary skills and technical expertise to analyze the changes to systems as well as the security or privacy ramifications. Impact analyses include reviewing security and privacy plans, policies, and procedures to understand control requirements; reviewing system design documentation and operational procedures to understand control implementation and how specific system changes might affect the controls; reviewing the impact of changes on organizational supply chain partners with stakeholders; and determining how potential changes to a system create new risks to the privacy of individuals and the ability of implemented controls to mitigate those risks. Impact analyses also include risk assessments to understand the impact of the changes and determine if additional controls are required.",CM-4,,CM-4: Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,
CM-5,CM-05 - Access Restrictions for Change,Configuration Management,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system. Guidance Changes to the hardware, software, or firmware components of systems or the operational procedures related to the system can potentially have significant effects on the security of the systems or individuals’ privacy. Therefore, organizations permit only qualified and authorized individuals to access systems for purposes of initiating changes. Access restrictions include physical and logical access controls (see AC-3 and PE-3 ), software libraries, workflow automation, media libraries, abstract layers (i.e., changes implemented into external interfaces rather than directly into systems), and change windows (i.e., changes occur only during specified times).",CM-5,,"CM-5: Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",
CM-6,CM-06 - Configuration Settings,Configuration Management,"a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; b. Implement the configuration settings; c. Identify, document, and approve any deviations from established configuration settings for based on ; and d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures. Guidance Configuration settings are the parameters that can be changed in the hardware, software, or firmware components of the system that affect the security and privacy posture or functionality of the system. Information technology products for which configuration settings can be defined include mainframe computers, servers, workstations, operating systems, mobile devices, input/output devices, protocols, and applications. Parameters that impact the security posture of systems include registry settings; account, file, or directory permission settings; and settings for functions, protocols, ports, services, and remote connections. Privacy parameters are parameters impacting the privacy posture of systems, including the parameters required to satisfy other privacy controls. Privacy parameters include settings for access controls, data processing preferences, and processing and retention permissions. Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems. The established settings become part of the configuration baseline for the system. Common secure configurations (also known as security configuration checklists, lockdown and hardening guides, and security reference guides) provide recognized, standardized, and established benchmarks that stipulate secure configuration settings for information technology products and platforms as well as instructions for configuring those products or platforms to meet operational requirements. Common secure configurations can be developed by a variety of organizations, including information technology product developers, manufacturers, vendors, federal agencies, consortia, academia, industry, and other organizations in the public and private sectors. Implementation of a common secure configuration may be mandated at the organization level, mission and business process level, system level, or at a higher level, including by a regulatory agency. Common secure configurations include the United States Government Configuration Baseline USGCB and security technical implementation guides (STIGs), which affect the implementation of CM-6 and other controls such as AC-19 and CM-7 . The Security Content Automation Protocol (SCAP) and the defined standards within the protocol provide an effective method to uniquely identify, track, and control configuration settings. CM-6 Additional FedRAMP Requirements and Guidance Guidance: Compliance checks are used to evaluate configuration settings and provide general insight into the overall effectiveness of configuration management activities. CSPs and 3PAOs typically combine compliance check findings into a single CM-6 finding, which is acceptable. However, for initial assessments, annual assessments, and significant change requests, FedRAMP requires a clear understanding, on a per-control basis, where risks exist. Therefore, 3PAOs must also analyze compliance check findings as part of the controls assessment. Where a direct mapping exists, the 3PAO must document additional findings per control in the corresponding SAR Risk Exposure Table (RET), which are then documented in the CSP's Plan of Action and Milestones (POA&M). This will likely result in the details of individual control findings overlapping with those in the combined CM-6 finding, which is acceptable.During monthly continuous monitoring, new findings from CSP compliance checks may be combined into a single CM-6 POA&M item. CSPs are not required to map the findings to specific controls because controls are only assessed during initial assessments, annual assessments, and significant change requests. (a) Requirement 1: The service provider shall use the DoD STIGs or Center for Internet Security guidelines to establish configuration settings; (a) Requirement 2: The service provider shall ensure that checklists for configuration settings are Security Content Automation Protocol (SCAP) validated or SCAP compatible (if validated checklists are not available).",CM-6,CM-6(a): common secure configurations | CM-6(c)-1: system components | CM-6(c)-2: operational requirements,"a.: a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; | b.: b. Implement the configuration settings; | c.: c. Identify, document, and approve any deviations from established configuration settings for based on ; and | d.: d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.",
CM-7,CM-07 - Least Functionality,Configuration Management,"a. Configure the system to provide only ; and b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: . Guidance Systems provide a wide variety of functions and services. Some of the functions and services routinely provided by default may not be necessary to support essential organizational missions, functions, or operations. Additionally, it is sometimes convenient to provide multiple services from a single system component, but doing so increases risk over limiting the services provided by that single component. Where feasible, organizations limit component functionality to a single function per component. Organizations consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations employ network scanning tools, intrusion detection and prevention systems, and end-point protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality can also be achieved as part of the fundamental design and development of the system (see SA-8 , SC-2 , and SC-3 ). CM-7 Additional FedRAMP Requirements and Guidance (b) Requirement: The service provider shall use Security guidelines (See CM-6) to establish list of prohibited or restricted functions, ports, protocols, and/or services or establishes its own list of prohibited or restricted functions, ports, protocols, and/or services if STIGs or CIS is not available.",CM-7,"CM-7(b): organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services | CM-7(a): mission-essential capabilities","a.: a. Configure the system to provide only ; and | b.: b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: .",
CM-8,CM-08 - System Component Inventory,Configuration Management,"a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: ; and b. Review and update the system component inventory . Guidance System components are discrete, identifiable information technology assets that include hardware, software, and firmware. Organizations may choose to implement centralized system component inventories that include components from all organizational systems. In such situations, organizations ensure that the inventories include system-specific information required for component accountability. The information necessary for effective accountability of system components includes the system name, software owners, software version numbers, hardware inventory specifications, software license information, and for networked components, the machine names and network addresses across all implemented protocols (e.g., IPv4, IPv6). Inventory specifications include date of receipt, cost, model, serial number, manufacturer, supplier information, component type, and physical location. Preventing duplicate accounting of system components addresses the lack of accountability that occurs when component ownership and system association is not known, especially in large or complex connected systems. Effective prevention of duplicate accounting of system components necessitates use of a unique identifier for each component. For software inventory, centrally managed software that is accessed via other systems is addressed as a component of the system on which it is installed and managed. Software installed on multiple organizational systems and managed at the system level is addressed for each individual system and may appear more than once in a centralized component inventory, necessitating a system association for each software instance in the centralized inventory to avoid duplicate accounting of components. Scanning systems implementing multiple network protocols (e.g., IPv4 and IPv6) can result in duplicate components being identified in different address spaces. The implementation of CM-8(7) can help to eliminate duplicate accounting of components. CM-8 Additional FedRAMP Requirements and Guidance Requirement: must be provided at least monthly or when there is a change.",CM-8,CM-8(a)(5): information | CM-8(b): frequency,a.: a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: ; and | b.: b. Review and update the system component inventory .,
CM-10,CM-10 - Software Usage Restrictions,Configuration Management,"a. Use software and associated documentation in accordance with contract agreements and copyright laws; b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work. Guidance Software license tracking can be accomplished by manual or automated methods, depending on organizational needs. Examples of contract agreements include software license agreements and non-disclosure agreements.",CM-10,,"a.: a. Use software and associated documentation in accordance with contract agreements and copyright laws; | b.: b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and | c.: c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",
CM-11,CM-11 - User-installed Software,Configuration Management,"a. Establish governing the installation of software by users; b. Enforce software installation policies through the following methods: ; and c. Monitor policy compliance . Guidance If provided the necessary privileges, users can install software in organizational systems. To maintain control over the software installed, organizations identify permitted and prohibited actions regarding software installation. Permitted software installations include updates and security patches to existing software and downloading new applications from organization-approved app stores. Prohibited software installations include software with unknown or suspect pedigrees or software that organizations consider potentially malicious. Policies selected for governing user-installed software are organization-developed or provided by some external entity. Policy enforcement methods can include procedural methods and automated methods.",CM-11,CM-11(a): policies | CM-11(b): methods | CM-11(c): frequency,a.: a. Establish governing the installation of software by users; | b.: b. Enforce software installation policies through the following methods: ; and | c.: c. Monitor policy compliance .,
CP-1,CP-01 - Policy and Procedures,Contingency Planning,"a. Develop, document, and disseminate to : 1. contingency planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls; b. Designate an to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and c. Review and update the current contingency planning: 1. Policy and following ; and 2. Procedures and following . Guidance Contingency planning policy and procedures address the controls in the CP family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of contingency planning policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to contingency planning policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.",CP-1,CP-1(a): organization-defined personnel or roles | CP-1(a)(1): [Selection (one or more): organization-level; mission/business process-level; system-level] | CP-1(b): official | CP-1(c)(1)-1: frequency | CP-1(c)(1)-2: events | CP-1(c)(2)-1: frequency | CP-1(c)(2)-2: events,"a.: a. Develop, document, and disseminate to : 1. contingency planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls; | b.: b. Designate an to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and | c.: c. Review and update the current contingency planning: 1. Policy and following ; and 2. Procedures and following .",
CP-2,CP-02 - Contingency Plan,Contingency Planning,"a. Develop a contingency plan for the system that: 1. Identifies essential mission and business functions and associated contingency requirements; 2. Provides recovery objectives, restoration priorities, and metrics; 3. Addresses contingency roles, responsibilities, assigned individuals with contact information; 4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure; 5. Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented; 6. Addresses the sharing of contingency information; and 7. Is reviewed and approved by ; b. Distribute copies of the contingency plan to ; c. Coordinate contingency planning activities with incident handling activities; d. Review the contingency plan for the system ; e. Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing; f. Communicate contingency plan changes to ; g. Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and h. Protect the contingency plan from unauthorized disclosure and modification. Guidance Contingency planning for systems is part of an overall program for achieving continuity of operations for organizational mission and business functions. Contingency planning addresses system restoration and implementation of alternative mission or business processes when systems are compromised or breached. Contingency planning is considered throughout the system development life cycle and is a fundamental part of the system design. Systems can be designed for redundancy, to provide backup capabilities, and for resilience. Contingency plans reflect the degree of restoration required for organizational systems since not all systems need to fully recover to achieve the level of continuity of operations desired. System recovery objectives reflect applicable laws, executive orders, directives, regulations, policies, standards, guidelines, organizational risk tolerance, and system impact level. Actions addressed in contingency plans include orderly system degradation, system shutdown, fallback to a manual mode, alternate information flows, and operating in modes reserved for when systems are under attack. By coordinating contingency planning with incident handling activities, organizations ensure that the necessary planning activities are in place and activated in the event of an incident. Organizations consider whether continuity of operations during an incident conflicts with the capability to automatically disable the system, as specified in IR-4(5) . Incident response planning is part of contingency planning for organizations and is addressed in the IR (Incident Response) family. CP-2 Additional FedRAMP Requirements and Guidance Requirement: For JAB authorizations the contingency lists include designated FedRAMP personnel. Requirement: CSPs must use the FedRAMP Information System Contingency Plan (ISCP) Template (available on the fedramp.gov: https://www.fedramp.gov/assets/resources/templates/SSP-A06-FedRAMP-ISCP-Template.docx).",CP-2,CP-2(a)(7): organization-defined personnel or roles | CP-2(b): organization-defined key contingency personnel (identified by name and/or by role) and organizational elements | CP-2(f): organization-defined key contingency personnel (identified by name and/or by role) and organizational elements | CP-2(d): frequency,"a.: a. Develop a contingency plan for the system that: 1. Identifies essential mission and business functions and associated contingency requirements; 2. Provides recovery objectives, restoration priorities, and metrics; 3. Addresses contingency roles, responsibilities, assigned individuals with contact information; 4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure; 5. Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented; 6. Addresses the sharing of contingency information; and 7. Is reviewed and approved by ; | b.: b. Distribute copies of the contingency plan to ; | c.: c. Coordinate contingency planning activities with incident handling activities; | d.: d. Review the contingency plan for the system ; | e.: e. Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing; | f.: f. Communicate contingency plan changes to ; | g.: g. Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and | h.: h. Protect the contingency plan from unauthorized disclosure and modification.",
CP-3,CP-03 - Contingency Training,Contingency Planning,"a. Provide contingency training to system users consistent with assigned roles and responsibilities: 1. Within of assuming a contingency role or responsibility; 2. When required by system changes; and 3. thereafter; and b. Review and update contingency training content and following . Guidance Contingency training provided by organizations is linked to the assigned roles and responsibilities of organizational personnel to ensure that the appropriate content and level of detail is included in such training. For example, some individuals may only need to know when and where to report for duty during contingency operations and if normal duties are affected; system administrators may require additional training on how to establish systems at alternate processing and storage sites; and organizational officials may receive more specific training on how to conduct mission-essential functions in designated off-site locations and how to establish communications with other governmental entities for purposes of coordination on contingency-related activities. Training for contingency roles or responsibilities reflects the specific continuity requirements in the contingency plan. Events that may precipitate an update to contingency training content include, but are not limited to, contingency plan testing or an actual contingency (lessons learned), assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. At the discretion of the organization, participation in a contingency plan test or exercise, including lessons learned sessions subsequent to the test or exercise, may satisfy contingency plan training requirements. CP-3 Additional FedRAMP Requirements and Guidance (a) Requirement: Privileged admins and engineers must take the basic contingency training within 10 days. Consideration must be given for those privileged admins and engineers with critical contingency-related roles, to gain enough system context and situational awareness to understand the full impact of contingency training as it applies to their respective level. Newly hired critical contingency personnel must take this more in-depth training within 60 days of hire date when the training will have more impact.",CP-3,CP-3(a)(1): time period | CP-3(a)(3): frequency | CP-3(b)-1: frequency | CP-3(b)-2: events,a.: a. Provide contingency training to system users consistent with assigned roles and responsibilities: 1. Within of assuming a contingency role or responsibility; 2. When required by system changes; and 3. thereafter; and | b.: b. Review and update contingency training content and following .,
CP-4,CP-04 - Contingency Plan Testing,Contingency Planning,"a. Test the contingency plan for the system using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: . b. Review the contingency plan test results; and c. Initiate corrective actions, if needed. Guidance Methods for testing contingency plans to determine the effectiveness of the plans and identify potential weaknesses include checklists, walk-through and tabletop exercises, simulations (parallel or full interrupt), and comprehensive exercises. Organizations conduct testing based on the requirements in contingency plans and include a determination of the effects on organizational operations, assets, and individuals due to contingency operations. Organizations have flexibility and discretion in the breadth, depth, and timelines of corrective actions. CP-4 Additional FedRAMP Requirements and Guidance (a) Requirement: The service provider develops test plans in accordance with NIST Special Publication 800-34 (as amended); plans are approved by the JAB/AO prior to initiating testing. (b) Requirement: The service provider must include the Contingency Plan test results with the security package within the Contingency Plan-designated appendix (Appendix G, Contingency Plan Test Report).",CP-4,CP-4(a)-2: organization-defined tests | CP-4(a)-1: frequency,"a.: a. Test the contingency plan for the system using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: . | b.: b. Review the contingency plan test results; and | c.: c. Initiate corrective actions, if needed.",
CP-9,CP-09 - System Backup,Contingency Planning,"a. Conduct backups of user-level information contained in ; b. Conduct backups of system-level information contained in the system ; c. Conduct backups of system documentation, including security- and privacy-related documentation ; and d. Protect the confidentiality, integrity, and availability of backup information. Guidance System-level information includes system state information, operating system software, middleware, application software, and licenses. User-level information includes information other than system-level information. Mechanisms employed to protect the integrity of system backups include digital signatures and cryptographic hashes. Protection of system backup information while in transit is addressed by MP-5 and SC-8 . System backups reflect the requirements in contingency plans as well as other organizational requirements for backing up information. Organizations may be subject to laws, executive orders, directives, regulations, or policies with requirements regarding specific categories of information (e.g., personal health information). Organizational personnel consult with the senior agency official for privacy and legal counsel regarding such requirements. CP-9 Additional FedRAMP Requirements and Guidance Requirement: The service provider shall determine what elements of the cloud environment require the Information System Backup control. The service provider shall determine how Information System Backup is going to be verified and appropriate periodicity of the check. (a) Requirement: The service provider maintains at least three backup copies of user-level information (at least one of which is available online) or provides an equivalent alternative. (b) Requirement: The service provider maintains at least three backup copies of system-level information (at least one of which is available online) or provides an equivalent alternative. (c) Requirement: The service provider maintains at least three backup copies of information system documentation including security information (at least one of which is available online) or provides an equivalent alternative.",CP-9,CP-9(a)-1: system components | CP-9(a)-2: frequency | CP-9(b): frequency | CP-9(c): frequency,"a.: a. Conduct backups of user-level information contained in ; | b.: b. Conduct backups of system-level information contained in the system ; | c.: c. Conduct backups of system documentation, including security- and privacy-related documentation ; and | d.: d. Protect the confidentiality, integrity, and availability of backup information.",
CP-10,CP-10 - System Recovery and Reconstitution,Contingency Planning,"Provide for the recovery and reconstitution of the system to a known state within after a disruption, compromise, or failure. Guidance Recovery is executing contingency plan activities to restore organizational mission and business functions. Reconstitution takes place following recovery and includes activities for returning systems to fully operational states. Recovery and reconstitution operations reflect mission and business priorities; recovery point, recovery time, and reconstitution objectives; and organizational metrics consistent with contingency plan requirements. Reconstitution includes the deactivation of interim system capabilities that may have been needed during recovery operations. Reconstitution also includes assessments of fully restored system capabilities, reestablishment of continuous monitoring activities, system reauthorization (if required), and activities to prepare the system and organization for future disruptions, breaches, compromises, or failures. Recovery and reconstitution capabilities can include automated mechanisms and manual procedures. Organizations establish recovery time and recovery point objectives as part of contingency planning.",CP-10,CP-10: organization-defined time period consistent with recovery time and recovery point objectives,"CP-10: Provide for the recovery and reconstitution of the system to a known state within after a disruption, compromise, or failure.",
IA-1,IA-01 - Policy and Procedures,Identification and Authentication,"a. Develop, document, and disseminate to : 1. identification and authentication policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls; b. Designate an to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and c. Review and update the current identification and authentication: 1. Policy and following ; and 2. Procedures and following . Guidance Identification and authentication policy and procedures address the controls in the IA family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of identification and authentication policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to identification and authentication policy and procedures include assessment or audit findings, security incidents or breaches, or changes in applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.",IA-1,IA-1(a): organization-defined personnel or roles | IA-1(a)(1): [Selection (one or more): organization-level; mission/business process-level; system-level] | IA-1(b): official | IA-1(c)(1)-1: frequency | IA-1(c)(1)-2: events | IA-1(c)(2)-1: frequency | IA-1(c)(2)-2: events,"a.: a. Develop, document, and disseminate to : 1. identification and authentication policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls; | b.: b. Designate an to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and | c.: c. Review and update the current identification and authentication: 1. Policy and following ; and 2. Procedures and following .",
IA-2(1),IA-02(01) - Multi-factor Authentication to Privileged Accounts,Identification and Authentication,"Implement multi-factor authentication for access to privileged accounts. Guidance Multi-factor authentication requires the use of two or more different factors to achieve authentication. The authentication factors are defined as follows: something you know (e.g., a personal identification number [PIN]), something you have (e.g., a physical authenticator such as a cryptographic private key), or something you are (e.g., a biometric). Multi-factor authentication solutions that feature physical authenticators include hardware authenticators that provide time-based or challenge-response outputs and smart cards such as the U.S. Government Personal Identity Verification (PIV) card or the Department of Defense (DoD) Common Access Card (CAC). In addition to authenticating users at the system level (i.e., at logon), organizations may employ authentication mechanisms at the application level, at their discretion, to provide increased security. Regardless of the type of access (i.e., local, network, remote), privileged accounts are authenticated using multi-factor options appropriate for the level of risk. Organizations can add additional security measures, such as additional or more rigorous authentication mechanisms, for specific types of access. IA-2 (1) Additional FedRAMP Requirements and Guidance Guidance: Multi-factor authentication to subsequent components in the same user domain is not required. Requirement: According to SP 800-63-3, SP 800-63A (IAL), SP 800-63B (AAL), and SP 800-63C (FAL). Requirement: Multi-factor authentication must be phishing-resistant.",IA-2,,IA-2(1): Implement multi-factor authentication for access to privileged accounts.,
IA-2(2),IA-02(02) - Multi-factor Authentication to Non-privileged Accounts,Identification and Authentication,"Implement multi-factor authentication for access to non-privileged accounts. Guidance Multi-factor authentication requires the use of two or more different factors to achieve authentication. The authentication factors are defined as follows: something you know (e.g., a personal identification number [PIN]), something you have (e.g., a physical authenticator such as a cryptographic private key), or something you are (e.g., a biometric). Multi-factor authentication solutions that feature physical authenticators include hardware authenticators that provide time-based or challenge-response outputs and smart cards such as the U.S. Government Personal Identity Verification card or the DoD Common Access Card. In addition to authenticating users at the system level, organizations may also employ authentication mechanisms at the application level, at their discretion, to provide increased information security. Regardless of the type of access (i.e., local, network, remote), non-privileged accounts are authenticated using multi-factor options appropriate for the level of risk. Organizations can provide additional security measures, such as additional or more rigorous authentication mechanisms, for specific types of access. IA-2 (2) Additional FedRAMP Requirements and Guidance Guidance: Multi-factor authentication to subsequent components in the same user domain is not required. Requirement: According to SP 800-63-3, SP 800-63A (IAL), SP 800-63B (AAL), and SP 800-63C (FAL). Requirement: Multi-factor authentication must be phishing-resistant.",IA-2,,IA-2(2): Implement multi-factor authentication for access to non-privileged accounts.,
IA-2(8),IA-02(08) - Access to Accounts — Replay Resistant,Identification and Authentication,Implement replay-resistant authentication mechanisms for access to . Guidance Authentication processes resist replay attacks if it is impractical to achieve successful authentications by replaying previous authentication messages. Replay-resistant techniques include protocols that use nonces or challenges such as time synchronous or cryptographic authenticators.,IA-2,IA-2(8): [Selection (one or more): privileged accounts; non-privileged accounts],IA-2(8): Implement replay-resistant authentication mechanisms for access to .,
IA-2(12),IA-02(12) - Acceptance of PIV Credentials,Identification and Authentication,"Accept and electronically verify Personal Identity Verification-compliant credentials. Guidance Acceptance of Personal Identity Verification (PIV)-compliant credentials applies to organizations implementing logical access control and physical access control systems. PIV-compliant credentials are those credentials issued by federal agencies that conform to FIPS Publication 201 and supporting guidance documents. The adequacy and reliability of PIV card issuers are authorized using SP 800-79-2 . Acceptance of PIV-compliant credentials includes derived PIV credentials, the use of which is addressed in SP 800-166 . The DOD Common Access Card (CAC) is an example of a PIV credential. IA-2 (12) Additional FedRAMP Requirements and Guidance Guidance: Include Common Access Card (CAC), i.e., the DoD technical implementation of PIV/FIPS 201/HSPD-12.",IA-2,,IA-2(12): Accept and electronically verify Personal Identity Verification-compliant credentials.,
IA-2,IA-02 - Identification and Authentication (Organizational Users),Identification and Authentication,"Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users. Guidance Organizations can satisfy the identification and authentication requirements by complying with the requirements in HSPD 12 . Organizational users include employees or individuals who organizations consider to have an equivalent status to employees (e.g., contractors and guest researchers). Unique identification and authentication of users applies to all accesses other than those that are explicitly identified in AC-14 and that occur through the authorized use of group authenticators without individual authentication. Since processes execute on behalf of groups and roles, organizations may require unique identification of individuals in group accounts or for detailed accountability of individual activity. Organizations employ passwords, physical authenticators, or biometrics to authenticate user identities or, in the case of multi-factor authentication, some combination thereof. Access to organizational systems is defined as either local access or network access. Local access is any access to organizational systems by users or processes acting on behalf of users, where access is obtained through direct connections without the use of networks. Network access is access to organizational systems by users (or processes acting on behalf of users) where access is obtained through network connections (i.e., nonlocal accesses). Remote access is a type of network access that involves communication through external networks. Internal networks include local area networks and wide area networks. The use of encrypted virtual private networks for network connections between organization-controlled endpoints and non-organization-controlled endpoints may be treated as internal networks with respect to protecting the confidentiality and integrity of information traversing the network. Identification and authentication requirements for non-organizational users are described in IA-8 . IA-2 Additional FedRAMP Requirements and Guidance Guidance: ""Phishing-resistant"" authentication refers to authentication processes designed to detect and prevent disclosure of authentication secrets and outputs to a website or application masquerading as a legitimate system. Guidance: All uses of encrypted virtual private networks must meet all applicable Federal requirements and architecture, dataflow, and security and privacy controls must be documented, assessed, and authorized to operate. Requirement: For all control enhancements that specify multifactor authentication, the implementation must adhere to the Digital Identity Guidelines specified in NIST Special Publication 800-63B. Requirement: Multi-factor authentication must be phishing-resistant.",IA-2,,IA-2: Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users.,Enhancements IA-2(1) - Multi-factor Authentication to Privileged Accounts IA-2(2) - Multi-factor Authentication to Non-privileged Accounts IA-2(8) - Access to Accounts — Replay Resistant IA-2(12) - Acceptance of PIV Credentials
IA-4,IA-04 - Identifier Management,Identification and Authentication,"Manage system identifiers by: a. Receiving authorization from to assign an individual, group, role, service, or device identifier; b. Selecting an identifier that identifies an individual, group, role, service, or device; c. Assigning the identifier to the intended individual, group, role, service, or device; and d. Preventing reuse of identifiers for . Guidance Common device identifiers include Media Access Control (MAC) addresses, Internet Protocol (IP) addresses, or device-unique token identifiers. The management of individual identifiers is not applicable to shared system accounts. Typically, individual identifiers are the usernames of the system accounts assigned to those individuals. In such instances, the account management activities of AC-2 use account names provided by IA-4 . Identifier management also addresses individual identifiers not necessarily associated with system accounts. Preventing the reuse of identifiers implies preventing the assignment of previously used individual, group, role, service, or device identifiers to different individuals, groups, roles, services, or devices.",IA-4,IA-4(a): personnel or roles | IA-4(d): time period,"a.: a. Manage system identifiers by: Receiving authorization from to assign an individual, group, role, service, or device identifier; | b.: b. Manage system identifiers by: Selecting an identifier that identifies an individual, group, role, service, or device; | c.: c. Manage system identifiers by: Assigning the identifier to the intended individual, group, role, service, or device; and | d.: d. Manage system identifiers by: Preventing reuse of identifiers for .",
