FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,PCI DSS 4 Requirement Title,Target ID #,PCI DSS 4 Requirement Description,Notes
164.308(a)(2),Assigned Security Responsibility,Description Identify security official responsible for P&P Regulation Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.,medium,functional,"HIPAA 164.308(a)(2) requires Description Identify security official responsible for P&P Regulation Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for t. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address security objectives and safeguard effectiveness.",not_related,1,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.111). Review for expert calibration.
164.308(a)(3)(i),Workforce Security,"Description Implement P&P to ensure appropriate PHI access Regulation Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a))(4) of this section from obtaining access to electronic protected health information.",medium,functional,"HIPAA 164.308(a)(3)(i) requires Description Implement P&P to ensure appropriate PHI access Regulation Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as p. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.205). Review for expert calibration.
164.308(a)(3)(ii)(A),Authorization and/or Supervision,Description Authorization/supervision for PHI access Regulation Implement procedures for authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,medium,functional,"HIPAA 164.308(a)(3)(ii)(A) requires Description Authorization/supervision for PHI access Regulation Implement procedures for authorization and/or supervision of workforce members who work with electronic protected health information or in locations where i. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.178). Review for expert calibration.
164.308(a)(3)(ii)(B),Workforce Clearance Procedure,Description Procedures to ensure appropriate PHI access Regulation Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,medium,functional,"HIPAA 164.308(a)(3)(ii)(B) requires Description Procedures to ensure appropriate PHI access Regulation Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.181). Review for expert calibration.
164.308(a)(3)(ii)(C),Termination Procedures,Description Procedures to terminate PHI access Regulation Implement procedures for termination access to electronic protected health information when the employment of a workforce member ends or as required by determination made as specified in paragraph (a)(3)(ii)(B) of this section.,medium,functional,"HIPAA 164.308(a)(3)(ii)(C) requires Description Procedures to terminate PHI access Regulation Implement procedures for termination access to electronic protected health information when the employment of a workforce member ends or as required by determinat. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.190). Review for expert calibration.
164.308(a)(4)(i),Information Access Management,Description P&P to authorize access to PHI Regulation Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,medium,functional,HIPAA 164.308(a)(4)(i) requires Description P&P to authorize access to PHI Regulation Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E . PCI DSS 4 3.7.1 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Protect Stored Account Data,3.7.1,"Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Strong cryptographic keys are generated. [Purpose]: Use of strong cryptographic keys significantly increases the level of security of encrypted account data. [Further Information]: See the sources referenced at ""Cryptographic Key Generation in Appendix G.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.224). Review for expert calibration.
164.308(a)(4)(ii)(A),Isolation Health Clearinghouse Functions,"Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",medium,functional,"HIPAA 164.308(a)(4)(ii)(A) requires Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and procedures that protect the electronic protec. PCI DSS 4 3.7.8 requires Defined Approach Requirements: Key management policies and procedures are implemented to include that cryptographic key custodians formally acknowledge (in writing or electronically) that they understand and accept their. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Protect Stored Account Data,3.7.8,Defined Approach Requirements: Key management policies and procedures are implemented to include that cryptographic key custodians formally acknowledge (in writing or electronically) that they understand and accept their key-custodian responsibilities. [CUSTOMIZED APPROACH OBJECTIVE]: Key custodians are knowledgeable about their responsibilities in relation to cryptographic operations and can access assistance and guidance when required. [Purpose]: This process will help ensure individuals that act as key custodians commit to the key-custodian role and understand and accept the responsibilities. An annual reaffirmation can help remind key custodians of their responsibilities. [Further Information]: Industry guidance for key custodians and their roles and responsibilities includes: NIST SP 800-130 A Framework for Designing Cryptographic Key Management Systems [5. Roles and Responsibilities (especially) for Key Custodians] ISO 11568-1 Banking -- Key management (retail) -- Part 1: Principles [5 Principles of key management (especially b)],Auto-mapped from JSON extraction using lexical + theme scoring (score=0.193). Review for expert calibration.
164.308(a)(4)(ii)(B),Access Authorization,"Description P&P to authorize access to PHI Regulation Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process or other mechanism.",medium,functional,"HIPAA 164.308(a)(4)(ii)(B) requires Description P&P to authorize access to PHI Regulation Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, . PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.207). Review for expert calibration.
164.308(a)(4)(ii)(C),Access Establishment and Modification,"Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process.",medium,functional,"HIPAA 164.308(a)(4)(ii)(C) requires Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a works. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.203). Review for expert calibration.
164.308(a)(5)(i),Security Awareness Training,Description Training program for workers and managers Regulation Implement a security awareness and training program for all members of its workforce (including management).,medium,functional,"HIPAA 164.308(a)(5)(i) requires Description Training program for workers and managers Regulation Implement a security awareness and training program for all members of its workforce (including management).. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address security management and governance. Both address security management and governance. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.185). Review for expert calibration.
164.308(a)(5)(ii)(A),Security Reminders,Description Distribute periodic security updates Regulation Periodic security updates.,medium,functional,HIPAA 164.308(a)(5)(ii)(A) requires Description Distribute periodic security updates Regulation Periodic security updates.. PCI DSS 4 5.3.1 requires Defined Approach Requirements: The anti-malware solution(s) is kept current via automatic updates.. Both address security objectives and safeguard effectiveness.,not_related,1,Protect All Systems and Networks from Malicious Software,5.3.1,"Defined Approach Requirements: The anti-malware solution(s) is kept current via automatic updates. [CUSTOMIZED APPROACH OBJECTIVE]: Anti-malware mechanisms can detect and address the latest malware threats. [Purpose]: For an anti-malware solution to remain effective, it needs to have the latest security updates, signatures, threat analysis engines, and any other malware protections on which the solution relies. Having an automated update process avoids burdening end users with responsibility for manually installing updates and provides greater assurance that anti-malware protection mechanisms are updated as quickly as possible after an update is released. [Good Practice]: Anti-malware mechanisms should be updated via a trusted source as soon as possible after an update is available. Using a trusted common source to distribute updates to end-user systems helps ensure the integrity and consistency of the solution architecture. Updates may be automatically downloaded to a central location—for example, to allow for testing—prior to being deployed to individual system components.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.034). Review for expert calibration.
164.308(a)(5)(ii)(B),Protection from Malicious Software,"Description Procedures to guard against malicious software Regulation Procedures for guarding against, detecting, and reporting malicious software.",medium,functional,"HIPAA 164.308(a)(5)(ii)(B) requires Description Procedures to guard against malicious software Regulation Procedures for guarding against, detecting, and reporting malicious software.. PCI DSS 4 5.1.2 requires Defined Approach Requirements: Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood.. Both address security objectives and safeguard effectiveness.",not_related,1,Protect All Systems and Networks from Malicious Software,5.1.2,"Defined Approach Requirements: Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood. [CUSTOMIZED APPROACH OBJECTIVE]: Day-to-day responsibilities for performing all the activities in Requirement 5 are allocated. Personnel are accountable for successful, continuous operation of these requirements. [Purpose]: If roles and responsibilities are not formally assigned, networks and systems may not be properly protected from malware. [Good Practice]: Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities. [Examples]: A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix).",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.042). Review for expert calibration.
164.308(a)(5)(ii)(C),Log-in Monitoring,Description Procedures and monitoring of log-in attempts Regulation Procedures for monitoring log-in attempts and reporting discrepancies.,medium,functional,HIPAA 164.308(a)(5)(ii)(C) requires Description Procedures and monitoring of log-in attempts Regulation Procedures for monitoring log-in attempts and reporting discrepancies.. PCI DSS 4 10.2.1.4 requires Defined Approach Requirements: Audit logs capture all invalid logical access attempts.. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Log and Monitor All Access to System Components and Cardholder Data,10.2.1.4,Defined Approach Requirements: Audit logs capture all invalid logical access attempts. [CUSTOMIZED APPROACH OBJECTIVE]: Records of all invalid access attempts are captured. [Purpose]: Malicious individuals will often perform multiple access attempts on targeted systems. Multiple invalid login attempts may be an indication of an unauthorized user’s attempts to “brute force” or guess a password.,Auto-mapped from JSON extraction using lexical + theme scoring (score=0.164). Review for expert calibration.
164.308(a)(5)(ii)(D),Password Management,"Description Procedures for password management Regulation Procedures for creating, changing, and safeguarding passwords.",medium,functional,"HIPAA 164.308(a)(5)(ii)(D) requires Description Procedures for password management Regulation Procedures for creating, changing, and safeguarding passwords.. PCI DSS 4 3.7.1 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.. Both address security objectives and safeguard effectiveness.",not_related,1,Protect Stored Account Data,3.7.1,"Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Strong cryptographic keys are generated. [Purpose]: Use of strong cryptographic keys significantly increases the level of security of encrypted account data. [Further Information]: See the sources referenced at ""Cryptographic Key Generation in Appendix G.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.049). Review for expert calibration.
164.308(a)(6)(i),Security Incident Procedures,Description P&P to manage security incidents Regulation Implement policies and procedures to address security incidents.,medium,functional,HIPAA 164.308(a)(6)(i) requires Description P&P to manage security incidents Regulation Implement policies and procedures to address security incidents.. PCI DSS 4 12.10.4 requires Defined Approach Requirements: Personnel responsible for responding to suspected and confirmed security incidents are appropriately and periodically trained on their incident response responsibilities.. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Support Information Security with Organizational Policies and Programs,12.10.4,"Defined Approach Requirements: Personnel responsible for responding to suspected and confirmed security incidents are appropriately and periodically trained on their incident response responsibilities. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about their role and responsibilities in incident response and are able to access assistance and guidance when required. [Purpose]: Without a trained and readily available incident response team, extended damage to the network could occur, and critical data and systems may become “polluted” by inappropriate handling of the targeted systems. This can hinder the success of a post-incident investigation. [Good Practice]: It is important that all personnel involved in incident response are trained and knowledgeable about managing evidence for forensics and investigations.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.176). Review for expert calibration.
164.308(a)(6)(ii),Response and Reporting,"Description Mitigate and document security incidents Regulation Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes.",medium,functional,"HIPAA 164.308(a)(6)(ii) requires Description Mitigate and document security incidents Regulation Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to . PCI DSS 4 12.10.3 requires Defined Approach Requirements: Specific personnel are designated to be available on a 24/7 basis to respond to suspected or confirmed security incidents.. Both address incident response and contingency. Both address incident response and contingency. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.10.3,"Defined Approach Requirements: Specific personnel are designated to be available on a 24/7 basis to respond to suspected or confirmed security incidents. [CUSTOMIZED APPROACH OBJECTIVE]: Incidents are responded to immediately where appropriate. [Purpose]: An incident could occur at any time, therefore if a person who is trained in incident response and familiar with the entity’s plan is available when an incident is detected, the entity’s ability to correctly respond to the incident is increased. [Good Practice]: Often, specific personnel are designated to be part of a security incident response team, with the team having overall responsibility for responding to incidents (perhaps on a rotating schedule basis) and managing those incidents in accordance with the plan. The incident response team can consist of core members who are permanently assigned or “on-demand” personnel who may be called up as necessary, depending on their expertise and the specifics of the incident. Having available resources to respond quickly to incidents minimizes disruption to the organization. Examples of types of activity the team or individuals should respond to include any evidence of unauthorized activity, detection of unauthorized wireless access points, critical IDS alerts, and reports of unauthorized critical system or content file changes.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.176). Review for expert calibration.
164.308(a)(7)(i),Contingency Plan,"Description Emergency response P&P Regulation Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",medium,functional,"HIPAA 164.308(a)(7)(i) requires Description Emergency response P&P Regulation Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disa. PCI DSS 4 12.10.5 requires Defined Approach Requirements: The security incident response plan includes monitoring and responding to alerts from security monitoring systems, including but not limited to: Intrusion-detection and intrusion-prevention. Both address incident response and contingency. Both address incident response and contingency. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.10.5,"Defined Approach Requirements: The security incident response plan includes monitoring and responding to alerts from security monitoring systems, including but not limited to: Intrusion-detection and intrusion-prevention systems. Network security controls. Change-detection mechanisms for critical files. The change-and tamper-detection mechanism for payment pages. This bullet is a best practice until its effective date; refer to Applicability Notes below for details. Detection of unauthorized wireless access points. [CUSTOMIZED APPROACH OBJECTIVE]: Alerts generated by monitoring and detection technologies are responded to in a structured, repeatable manner. [APPLICABILITY NOTES]: The bullet above (for monitoring and responding to alerts from a change- and tamper-detection mechanism for payment pages) is a best practice until 31 March 2025, after which it will be required as part of Requirement 12.10.5 and must be fully considered during a PCI DSS assessment. [Purpose]: Responding to alerts generated by security monitoring systems that are explicitly designed to focus on potential risk to data is critical to prevent a breach and therefore, this must be included in the incident-response processes.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.178). Review for expert calibration.
164.308(a)(7)(ii)(A),Data Backup Plan,Description Data backup planning & procedures Regulation Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.,medium,functional,HIPAA 164.308(a)(7)(ii)(A) requires Description Data backup planning & procedures Regulation Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.. PCI DSS 4 3.7.1 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Protect Stored Account Data,3.7.1,"Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Strong cryptographic keys are generated. [Purpose]: Use of strong cryptographic keys significantly increases the level of security of encrypted account data. [Further Information]: See the sources referenced at ""Cryptographic Key Generation in Appendix G.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.182). Review for expert calibration.
164.308(a)(7)(ii)(B),Disaster Recovery Plan,Description Data recovery planning & procedures Regulation Establish (and implement as needed) procedures to restore loss of data.,medium,functional,"HIPAA 164.308(a)(7)(ii)(B) requires Description Data recovery planning & procedures Regulation Establish (and implement as needed) procedures to restore loss of data.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.167). Review for expert calibration.
164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,Description Business continuity procedures Regulation Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operation in emergency mode.,medium,functional,"HIPAA 164.308(a)(7)(ii)(C) requires Description Business continuity procedures Regulation Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health inf. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address security objectives and safeguard effectiveness.",not_related,1,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.086). Review for expert calibration.
164.308(a)(7)(ii)(D),Testing and Revision Procedures,Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.,medium,functional,"HIPAA 164.308(a)(7)(ii)(D) requires Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.. PCI DSS 4 12.10.2 requires Defined Approach Requirements: At least once every 12 months, the security incident response plan is: Reviewed and the content is updated as needed.. Both address incident response and contingency.",not_related,1,Support Information Security with Organizational Policies and Programs,12.10.2,"Defined Approach Requirements: At least once every 12 months, the security incident response plan is: Reviewed and the content is updated as needed. Tested, including all elements listed in Requirement 12.10.1. [CUSTOMIZED APPROACH OBJECTIVE]: The incident response plan is kept current and tested periodically. [Purpose]: Proper testing of the security incident response plan can identify broken business processes and ensure key steps are not missed, which could result in increased exposure during an incident. Periodic testing of the plan ensures that the processes remain viable, as well as ensuring that all relevant personnel in the organization are familiar with the plan. [Good Practice]: The test of the incident response plan can include simulated incidents and the corresponding responses in the form of a “table-top exercise”, that include participation by relevant personnel. A review of the incident and the quality of the response can provide entities with the assurance that all required elements are included in the plan.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.144). Review for expert calibration.
164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,Description Prioritize data and system criticality for contingency planning Regulation Assess the relative criticality of specific applications and data in support of other contingency plan components.,medium,functional,"HIPAA 164.308(a)(7)(ii)(E) requires Description Prioritize data and system criticality for contingency planning Regulation Assess the relative criticality of specific applications and data in support of other contingency plan components.. PCI DSS 4 10.2.1.2 requires Defined Approach Requirements: Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Log and Monitor All Access to System Components and Cardholder Data,10.2.1.2,"Defined Approach Requirements: Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts. [CUSTOMIZED APPROACH OBJECTIVE]: Records of all actions performed by individuals with elevated privileges are captured. [Purpose]: Accounts with increased access privileges, such as the “administrator” or “root” account, have the potential to significantly impact the security or operational functionality of a system. Without a log of the activities performed, an organization is cannot trace any issues resulting from an administrative mistake or misuse of privilege back to the specific action and account. [Definitions]: Accounts with administrative access are those assigned with specific privileges or abilities for that account to manage systems, networks, and/or applications. The functions or activities considered to be administrative are beyond those performed by regular users as part of routine business functions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.194). Review for expert calibration.
