Control ID,Title,Description,Instructions,Frameworks,Category
AC.AI.V1,Authentication information,"Allocation and management of authentication information shall be controlled by a management process, including advising personnel on the appropriate handling of authentication information.",,"iso27001_direct_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.AIAP.V1,Authenticators initially and periodically tested,Initially and periodically test devices (tokens/cards) that bear or generate identification code/password information to ensure proper function and no unauthorized alteration.,"#### Action Items1. Define a test plan and schedule for authenticators (upon receipt and at defined intervals).2. Test for tampering, malfunction, and firmware integrity; document results.3. Replace failed/altered devices and investigate anomalies.4. Maintain test records and link to asset inventory.### Examples of evidence that satisfy this control- Authenticator test logs and certificates of conformance.- Firmware integrity check results.- Asset inventory referencing device test dates/results.- CAPA records for failed devices.","cfr_21_part_11_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.ADAP.V1,Automated decision-making and profiling has oversight,"This requirements establishes safeguards for automated decision-making processes, including profiling, to align with GDPR requirements and protect data subjects' rights.","### Examples of evidence that satisfy this control- Inventory of automated decision-making processes, including their legal basis and implemented safeguards- Consent forms for automated decision-making, clearly explaining the process and its implications- Documented procedure for handling requests for human intervention, expression of views, and contesting of decisions**Action items**If you identified automated decision-making or profiling processes in your risk assessment for high-impact data processing, this control is applicable.For each of these processes, determine if it falls under permitted exceptions: contractual necessity, legal authorization, or explicit consent.If not a permitted exception, implement one of the following measures:1. Remove the automated decision-making process and incorporate human intervention2. Obtain explicit consent from data subjects for the automated decision-making3. Modify the process to fall under contractual necessity or seek legal authorizationFor all automated decision-making processes, regardless of exception:1. Implement mechanisms for human intervention2. Establish a process for data subjects to express their views3. Create a procedure for data subjects to contest decisionsDocument all automated decision-making processes and their compliance measures.","gdpr_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.AULE.V1,Automatic user logoff enforced,Implement an automatic logoff mechanism to terminate user sessions after a period of inactivity.,"Examples of evidence that fulfills this control1. Access Management policy uploaded to the Oneleet policy builder.2. A screenshot or excerpt from your policy that requires automatic user logoff and defines the max idle time allowed.3. A screenshot or excerpt from your system showing that the max idle time defined in your policy is enforced.4. A screenshot of logs or an activity report(e.g., CloudWatch Logs, Datadog) showing an inactive session timeout/logoff event.","hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.AUST.V1,Automatic user session termination enforced,"User sessions must be automatically terminated all defined events outlined in the Compliance NIST 800-171 Policy. Conditions may include inactivity for a specified period (e.g., 15 minutes), time-of-day restrictions on access, and responses to suspicious activity or security incidents. Automatic session termination ensures system security by ending processes associated with the user's logical session.",### Action Items- Configure automatic session termination settings as defined in the Access Management Policy to any web applications and databases where CUI is accessible.### Examples of evidence that satisfy this control- Screenshots showing configurations demonstrating sessions are automatically terminated in systems where users can access CUI.- A screenshot showing a log of automatically terminated sessions.,"nist_800-53_v5, nist_800_171_v1",ACCESS CONTROL AND AUTHORIZATION
AC.BSUE.V1,Biometric signature uniqueness ensured,Design biometric‑based signatures so they cannot be used by anyone other than the genuine owner.,"#### Action Items1. Use biometric tech with liveness detection and template protection.2. Validate FAR/FRR performance and anti‑spoofing.3. Encrypt biometric templates; restrict access; document data retention/deletion.4. Provide non‑biometric fallback with equivalent controls when biometrics unavailable, with additional verification.### Examples of evidence that satisfy this control- Vendor documentation on liveness/anti‑spoofing and performance.- Validation/acceptance test results for biometric devices.- Access controls and encryption settings for biometric templates.- SOPs for biometric enrollment, use, and fallback.",cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.CTPH.V1,Changes to PHI logged,"Track all changes made to PHI, including additions, modifications, and deletions, to ensure data integrity and enable audit trails.","Examples of evidence that fulfills this control:- Logs documenting changes to PHI, including before-and-after states if feasible.- Procedures for reviewing and auditing PHI change logs.","hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.CLRE.V1,Credential loss response executed,Follow loss‑management procedures to deauthorize lost/stolen/missing tokens or devices and issue replacements under rigorous controls.,#### Action Items1. Provide 24/7 process to report lost tokens/cards.2. Immediately revoke compromised authenticators and force credential reset.3. Bind replacement issuance to positive identity verification and ticketed approval.4. Maintain inventory of authenticators and chain of custody.### Examples of evidence that satisfy this control- Incident tickets for lost/stolen device reports and revocations.- Authenticator inventory with assignment history.- Replacement issuance logs with ID verification.- SIEM logs showing revocation events.,cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.DAAU.V1,Dedicated administrator accounts used,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.",### Action itemsEnsure all employees are using non-privileged accounts for their day-to-day tasks and that administrative duties are performed from separate accounts with the necessary privileges. Regular audits should be conducted to ensure adherence to this policy.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations.2. A screenshot of the User List or IAM dashboard showing privilege levels and a clear distinction between admin and non-admin accounts.,"cis_ig1_v1, iso27001_v1, nist_800_171_v1, oneleet_pro_v1",ACCESS CONTROL AND AUTHORIZATION
AC.DAD.V1,Default accounts disabled,"Disable default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts, where possible. Example implementations can include: disabling default accounts or making them unusable.","### Action itemsReview all enterprise assets and software to identify any default accounts. Once identified, either disable these accounts or change their credentials to make them unusable. Ensure to document this process and keep it up-to-date for future reference and audits.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations.2. A screenshot of your default account management settings.3. A link or screenshot of your process documentation for disabling default accounts.4. A report or log showing the disabled or modified default accounts.","cis_ig1_v1, oneleet_essentials_v1, oneleet_pro_v1, pci_dss_level_1_v1",ACCESS CONTROL AND AUTHORIZATION
AC.DAD.V1,Dormant accounts disabled,Monitor for dormant user accounts and disable or remove accounts that have been inactive for an extended period.,"### Action itemsEstablish a policy for reviewing user accounts on a regular basis. Accounts that are no longer being used should be deactivated or removed entirely. Use an automated system for tracking inactivity if possible, and manually follow up on any accounts that haven't had any activity for an extended period.### Examples of evidence that satisfy this control1. Oneleet access review completed for all critical vendors and Oneleet monitors passing for all supported integrations.2. Documented account review process, and screenshots of automated system for tracking inactivity.","cis_ig1_v1, nist_800_171_v1, oneleet_essentials_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.ESCM.V1,Electronic signature components managed,Require multi‑factor or multi-component e‑signature mechanisms for non‑biometric systems.,#### Action Items1. Implement dual components (ID + password).2. Enforce full entry for first signing.3. Apply least component for subsequent signings.### Examples of evidence that satisfy this control- Configuration showing multi‑component signature setup.- Logs demonstrating first full entry and subsequent shortcuts.- Policy describing component usage.,cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.EAPE.V1,Emergency access procedure established,Establish and maintain a procedure for granting authorized personnel access to critical information during emergencies.,"**Examples of evidence that fulfills this control**- A documented emergency access procedure outlining the steps for granting access during emergencies.- Logs or records of emergency access events, including personnel involved, date, time, and reason for access.- Evidence of testing or simulations showing how the procedure works during an emergency scenario.- Records of actual emergency situations demonstrating adherence to the procedure.","hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",ACCESS CONTROL AND AUTHORIZATION
AC.EARR.V1,Employee access regularly reviewed,Employee access is reviewed at least annually to ensure that access privileges are appropriate and that former employees or users do not retain unauthorized access.,"### Action itemsFirst, establish that you have a process documented that outlines how you revoke access that is no longer needed. This can be as simple as an access review session each quarter where your organization does an audit on all systems and ensures that no one is over or under provisioned. Document the actions taken during these sessions.### Examples of evidence that satisfy this control1. Oneleet access review completed for all critical vendors2. Documented access review process outlining review frequency, what systems are reviewed, and procedures for revoking unnecessary access.","cfr_21_part_11_v1, eu_dora_v1, gdpr_v1, hipaa_v1, iso27001_v1, nist_800_171_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.IAMI.V1,IAM Inventory Maintained,"Maintain a centralized inventory of all individuals, groups, roles, services, and devices with access to organizational systems.","### Action itemsMaintain a single source of truth for all identifiers using an IAM tool, cloud-native service, or an organized database.- Assign unique identifiers to individuals, groups, roles, services, and devices using a consistent naming convention (e.g., ""EMP-<name>"" for employees, ""CON-<name>"" for contractors).- Add labels to identifiers indicating the entity's role or status, such as ""Contractor,"" ""Full-time Employee,"" or ""External User.”- The reuse of identifiers is never permitted unless an explicit period of time before reuse is otherwise established and defined in your access management policy.### Examples of evidence that satisfy this control- Screenshot or link to your inventory or IAM tools (e.g., Okta, Azure AD) showing unique identifiers for all individuals, groups, roles, services, and devices.",nist_800_171_v1,ACCESS CONTROL AND AUTHORIZATION
AC.IM.V1,Identity management,The full life cycle of identities shall be managed.,,iso27001_direct_v1,ACCESS CONTROL AND AUTHORIZATION
AC.IAR.V1,Information access restriction,Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.,,iso27001_direct_v1,ACCESS CONTROL AND AUTHORIZATION
AC.KIM.V1,Key inventory maintained,"Maintain an inventory of all shared or production access tokens to ensure proper management, tracking, and security of our key assets.","### Action ItemsEstablish a centralized key management system or database. Create a standardized process for recording new keys, including all required information (creator, service description, creation date, rotation date, current owner).Implement a regular review process to establish that the inventory is up-to-date. Set up automated alerts for key rotation based on predefined schedules or risk assessments.### Examples of evidence that satisfy this control1. Screenshots of a centralized key management system (e.g., AWS Secrets Manager) containing all required information for each key. Screenshots must display a visible system date/time.2. Key management logs showing dates of generation, rotation, and revocation.3. Documentation of regular key inventory reviews, including dates and responsible personnel.",iso27001_v1,ACCESS CONTROL AND AUTHORIZATION
AC.MRFA.V1,MFA required for administrative access,Require multi-factor authentication (MFA) for administrative access to critical systems and services. MFA mitigates the risk of unauthorized administrative access and helps protect sensitive administrative functions.,"### Action itemsEnsure that MFA is enabled for all administrative accounts on your critical systems and services. This can be done in the settings of most systems and services, or through the use of third-party MFA applications.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations, with MFA enforced across all critical services and infrastructure.2. Screenshots of your MFA settings across all critical services and infrastructure. Screenshots must display a visible system date/time.","cis_ig1_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800_171_v1, pci_dss_level_1_v1",ACCESS CONTROL AND AUTHORIZATION
AC.MUOA.V1,MFA required for applications,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this safeguard.","### Action itemsImplement MFA on all your externally-exposed enterprise or third-party applications. If the application does not support MFA, consider using a directory service or Single Sign-On (SSO) provider that does.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations, with MFA enforced across all critical services and infrastructure.2. Screenshots of your MFA settings across all critical services and infrastructure. Screenshots must display a visible system date/time.3. Screenshots or links to your MFA policy documentation or user agreements.","cis_ig1_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, nist_800_171_v1, oneleet_essentials_v1, oneleet_pro_v1, pci_dss_level_1_v1",ACCESS CONTROL AND AUTHORIZATION
AC.MRFC.V1,MFA required for critical services,Multi-factor authentication (MFA) is required for accessing critical services and infrastructure unless a documented exception is in place where MFA is not supported.,"### Action itemsImplement MFA across all your systems, especially those that contain sensitive data. Ensure that your team understands the importance of MFA and how to use it. Training sessions may be necessary to facilitate a smooth transition to regular use of MFA, and this policy should be clearly documented in an accessible location for all employees.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations, with MFA enforced across all critical services and infrastructure.2. Screenshots of your MFA settings across all critical services and infrastructure. Screenshots must display a visible system date/time.","cfr_21_part_11_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, nist_800_171_v1, oneleet_essentials_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.MRFI.V1,MFA required for infrastructure access,Require multi-factor authentication (MFA) for accessing sensitive infrastructure. MFA adds an extra layer of security by requiring users to provide additional authentication factors beyond their passwords.,"### Action itemsImplement MFA across all your systems, especially those that contain sensitive data. Ensure that your team understands the importance of MFA and how to use it. Training sessions may be necessary to facilitate a smooth transition to regular use of MFA, and this policy should be clearly documented in an accessible location for all employees.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations, with MFA enforced across all critical services and infrastructure.2. Screenshots of your MFA settings across all critical services and infrastructure. Screenshots must display a visible system date/time.3. Screenshots or links to your MFA policy documentation or user agreements.4. Screenshots of MFA compliance reports from your identity provider.","eu_dora_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800_171_v1, pci_dss_level_1_v1",ACCESS CONTROL AND AUTHORIZATION
AC.MRFN.V1,MFA required for network access,Require multi-factor authentication (MFA) for accessing the organization's network. MFA strengthens network security by requiring users to provide additional authentication factors during login attempts.,"### Action itemsEnsure that MFA is enabled for all of your organization's accounts. This could be achieved through various means such as text messages, phone calls, or authenticator apps.### Examples of evidence that satisfy this control- Screenshot of your MFA settings in your organization's network access control.- Screenshots or links to your MFA policy documentation or user agreements.- Screenshots of MFA compliance reports from your identity provider.","cis_ig1_v1, nist_800_171_v1, pci_dss_level_1_v1",ACCESS CONTROL AND AUTHORIZATION
AC.MCPE.V1,Maintenance control process established,Establish a process to approve and monitor maintenance and diagnostic activities requiring remote network access to manage or maintain systems—this encompasses all maintenance activities for applications hosted on a cloud provider.,"### Action itemsRequire approval for all maintenance activities, such as software updates, diagnostics, or troubleshooting performed remotely. Use a centralized location (e.g., Slack, ticketing tools like Jira or Zendesk, or email) to log and track approvals for all maintenance activities. Leverage built-in cloud monitoring tools (e.g., AWS CloudTrail, Azure Monitor, GCP Logging) to track maintenance sessions. Configure automatic session and network connection termination for remote maintenance activities.### Examples of evidence that satisfy this control- A link or screenshot of past maintenance requests.- Configuration settings or screenshots demonstrating automated termination of remote sessions after maintenance is complete.",nist_800_171_v1,ACCESS CONTROL AND AUTHORIZATION
AC.MPAP.V1,Maintenance personnel authorization process established,Establish a process for authorizing maintenance personnel and organizations to ensure only qualified and authorized individuals perform maintenance on the system. Verify access authorizations for non-escorted personnel and designate authorized personnel to supervise maintenance activities when required.,"### Action items- Develop and document a process for authorizing maintenance personnel. Ensure to outline how individuals will receive required access such as issuing temporary credentials.- Maintain a current list of authorized maintenance organizations or personnel, including their roles and authorizations.### Examples of evidence that satisfy this control- A link or screenshot of current authorized maintenance organizations or personnel.- A link or screenshot of your documented maintenance personnel authorization process.",nist_800_171_v1,ACCESS CONTROL AND AUTHORIZATION
AC.MTMA.V1,Maintenance tools managed and secured,"Implement a process to approve, control, and monitor the use of system maintenance tools, ensuring they are free from malicious code and do not compromise the security of CUI. Additionally, prevent unauthorized removal of system maintenance equipment containing CUI by sanitizing, retaining, or securely destroying such equipment as outlined in the Asset Management Policy.",### Action items- Establish a formal approval process for adding new tools to the inventory.- Regularly review and remove outdated or unsupported tools from use.### Examples of evidence that satisfy this control- Screenshot or link to asset management inventory including approved system maintenance tools.- Screenshot or link to your document outlining the process for adding new maintenance tools to the inventory.,nist_800_171_v1,ACCESS CONTROL AND AUTHORIZATION
AC.PEAR.V1,Password expiration and renewal enforced,"Periodically check, recall, or revise identification codes and passwords (e.g., password aging) to maintain security and integrity.","#### Action Items1. Enforce password rotation or equivalent risk‑based controls (e.g., longer passphrases + breach‑monitoring) per policy.2. Periodically re‑issue/re‑validate credentials for signers.3. Disable dormant accounts and revoke credentials upon role change/termination.4. Document the cadence and results of these checks.### Examples of evidence that satisfy this control- Password policy showing aging/rotation or compensating controls.- Reports of periodic credential reviews and re‑issuance.- Dormant‑account disablement reports.- Termination checklists with prompt access revocation.",cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.PMPE.V1,Password management policy enforced,"Strictly enforce the organization’s password management policy to guarantee compliance with security standards. Enforcing this policy includes implementing technical controls, monitoring adherence, and responding to non-compliance.","### Action ItemsDeploy automated mechanisms within authentication systems to enforce policy requirements, such as password complexity, length, and update frequency.Require MFA for access to sensitive systems. Integrate MFA settings into the authentication platform and verify regular usage, especially for high-risk and privileged accounts.Configure real-time alerts for repeated login failures or any detected password policy violations. Establish immediate corrective actions, such as account lockouts or password resets, to mitigate risks.Conduct periodic audits to verify policy enforcement across all systems and platforms. Address any gaps identified during audits, and document corrective actions taken to maintain compliance.### Examples of evidence that satisfy this control1. Oneleet monitors passing for supported integrations, with password policy enforcements configured across all critical applications.2. Screenshot of settings in your password manager (e.g., 1Password, Bitwarden, Azure AD) showing password complexity matches (or exceeds) the complexity defined in your Password Management Policy.3. Screenshots from all critical applications showing password complexity matches or exceeds the complexity defined in your Password Management Policy. Screenshots must display a visible system date/time.","cis_ig1_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800_171_v1, oneleet_essentials_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.PMPE.V1,Password management policy established,"Enforce a password management policy that mandates strong and complex passwords, and prohibits the reuse of previously used passwords. This policy helps protect user accounts from unauthorized access due to weak or compromised passwords.","### Action itemsCreate a password policy that requires complex passwords with a mix of characters, numbers, and symbols. This policy should also mandate regular password changes and prohibit the reuse of previous passwords.### Examples of evidence that satisfy this control1. Password policy uploaded to the Oneleet policy builder.2. PDF upload of the password policy with a dated version history.","cis_ig1_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800_171_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.SA.V1,Secure authentication,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,,iso27001_direct_v1,ACCESS CONTROL AND AUTHORIZATION
AC.SDCS.V1,Signature during continuous session captured,"For a series of signings in a single, continuous, controlled session: require full credentials for the first signing; allow subsequent signings with at least one component (e.g., PIN) that only the individual can execute.",#### Action Items1. Require full authentication (ID + password + any required factor) at session start or first signing.2. Configure subsequent signings in that session to prompt for a signing‑PIN or re‑entry of password.3. Set inactivity timeout to force re‑authentication after idle period.4. Validate workflow to ensure at least one user‑only component is required for subsequent signings.### Examples of evidence that satisfy this control- Configuration screenshots showing first‑sign and subsequent‑sign prompts.- Session timeout settings and tests.- Test records demonstrating first signing uses all components; later signings use PIN/password only.- SOP describing session rules.,cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.SOCS.V1,Signature outside continuous session captured,"When signings are not in a single continuous session, require all electronic signature components for each signing.",#### Action Items1. Enforce full authentication at each signing when no active controlled session exists.2. Disable any bypass/remember me for signing events initiated outside a session.3. Test that each such signing requires both identification components.### Examples of evidence that satisfy this control- Test evidence showing signings outside a session require full ID + password (and factor if used).- Screenshots of settings disabling persistent sign‑on for signing events.- Audit logs showing full credential use per signing.,cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.UICM.V1,Unique identification codes managed,Manage IDs/passwords securely with lifecycle controls to prevent misuse.,#### Action Items1. Enforce periodic password changes.2. Disable credentials on role change/termination.3. Detect and report unauthorized attempts.### Examples of evidence that satisfy this control- Password policy documentation.- Logs of password resets and expirations.- Audit of disabled accounts after user departure.,cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.USIA.V1,Unique signature identification assigned,"Ensure each e‑signature is unique, non‑transferable, and tied to one individual.",#### Action Items1. Enforce unique credentials per user.2. Prohibit reuse or reassignment.3. Track signature ownership.### Examples of evidence that satisfy this control- System user registry showing unique ID per user.- Policy documenting no reuse.- Audit logs verifying unique signature usage.,cfr_21_part_11_v1,ACCESS CONTROL AND AUTHORIZATION
AC.UUII.V1,Unique user identification implemented,"Enforce the use of unique user identification for all individuals and systems accessing environments where protected information is stored, processed, or transmitted.",Examples of evidence that fulfills this control:- A list of unique user IDs or account names for systems containing ePHI.- Screenshots or configurations showing enforcement of unique user authentication mechanisms.- Logs demonstrating access and activity tracking tied to unique identifiers.,"hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",ACCESS CONTROL AND AUTHORIZATION
